Name,CustomerID,SiteName,SiteID
3G,888,3G,888
"ABC # 195 Rockford, IL",299,ABC #195 Rock,299
ABC #005 Mundelein,"1,115",ABC #005 Mundelein,"1,115"
ABC #009 Toledo,953,ABC #009 Toledo,953
ABC #013 Mentor,245,ABC#013 Mentor,245
ABC #067 South Bend,"1,028",ABC #067 South Bend,"1,028"
ABC #068 FARMINGTON,252,ABC#608 Farm MO,252
ABC #069 Cincinnati,951,ABC #069 Cincinnati,951
ABC #070 Louisville,956,ABC #070 Louisville,956
ABC #077 Cleveland,902,ABC #077 Cleveland,902
ABC #087 Youngstown,943,ABC #087 Youngstown,943
ABC #106 Dayton,952,ABC #106 Dayton,952
ABC #120 Akron,246,ABC #120 Akron,246
ABC #155 Champaign,247,ABC#155 Champ,247
ABC #190 Columbus,949,ABC #190 Columbus,949
ABC #193 CANTON,251,ABC#193 Canton,251
ABC #197 Cape G. MO,219,ABC #197 CAPE,219
"ABC #199 Freeport, IL",458,ABC#199 Freeport,458
ABC #200 Kalamazoo,900,ABC #200 Kalamazoo,900
ABC #202 Crystal Lake,"1,096",ABC #202 Crystal,"1,096"
"ABC #214 Rochelle, IL",283,ABC#214 Rochelle,283
ABC #231 Lexington,955,ABC #231 Lexington,955
ABC #270 Johnson City,488,ABC #270 Johnson City,488
ABC #275 Merrillville,698,ABC #275 Merrill,698
ABC #281 KNOXVILLE,257,ABC#281 Knox,257
ABC #282 HUNTINGTON,250,ABC#282 Hunt. WV,250
ABC #291 Abingdon,489,ABC #291 Abingdon,489
ABC #296 Mt Vernon,948,ABC #296 Mt Vernon,948
ABC #297 Findlay,253,ABC #297 Findlay,253
ABC #301 NewCastle,945,ABC #301 NewCastle,945
ABC #332 Erlanger,954,ABC #332 Erlanger,954
ABC #333 Gurnee,"1,118",ABC #333 Gurnee,"1,118"
ABC #336 Jackson,889,ABC #336 Jackson,889
ABC #345 Fenton MO,282,ABC #345 Fenton MO,282
ABC #347 Erie,944,ABC #347 Erie,944
ABC #359 Benwood,947,ABC #359 Benwood,947
ABC #362N Huntingdon,946,ABC #362N Huntingdon,946
ABC #368 St Peters MO,"1,012",ABC #368 St Peters,"1,012"
ABC #369 E St Louis IL,999,ABC #369 E St Louis,999
ABC #391 St Louis,"1,114",ABC #391 St Louis,"1,114"
ABC #403 Columbus,950,ABC #403 Columbus,950
ABC #473 Hazelwood,830,ABC#473 Haze,830
ABC# 017 West Allis,258,ABC West Allis,258
ABC# 273 E. Peoria,249,ABC#273 Peoria,249
"ABC#001 Roscoe, IL",284,ABC #001 Roscoe,284
ABC#002 Collinsville,220,ABC#002 Collin,220
"ABC#010 Davenport, IA",222,ABC Davenport,222
"ABC#022 Hartland, WI",288,"ABC#022 Hartland, WI",288
ABC#078 Roanoke,484,ABC#078 Roanoke,484
"ABC#126 Burlington, WI",285,ABC#126 Burl,285
ABC#158 Lynchburg,398,ABC#158 Lynch,398
"ABC#184 Conley, GA",538,ABC#184 Conley,538
"ABC#204 Jackson, WI",279,ABC Jackson WI,279
"ABC#205 Kenosha, WI",286,ABC#205 Kenosha,286
ABC#208 O'Fallon,254,ABC#208 O'Fallon,254
ABC#219 LASALLE,268,ABC#219 LASALLE,268
ABC#259 Herculaneum,256,ABC# 259 Herc,256
ABC#277 ST LOUIS,267,ABC#277 ST. LOUIS,267
"ABC#321 Columbia, MO",231,ABC#321 Col MO,231
ABC#334 Lansing MI,891,ABC#334 Lansing,891
ABC#520CharlesSC,670,ABC#520CharlesSC,670
Abney,4,ABNEY,4
Accent Window & Door,839,Accent,839
"Adkins, Joe",5,ADKINS,5
ADVANCED VINYL DISTRIBUTORS,20,AVDC,20
Advanced Window,6,Advanced Window,6
Advanced Window & Door,857,AWDS,857
AE DOOR,7,AE DOOR,7
Affordable Handy Man,"1,015",AHM,"1,015"
AFFORDABLE WINDOWS,21,AW,21
ALL ABOUT GLASS,1,AAG,1
All Around Joe,436,All Around Joe,436
All Seasons HI,"1,075",All Seasons HI,"1,075"
ALL SEASONS WDW& DOOR,9,ALL SEASON,9
All Star Windows Inc,756,All Star,756
ALLEGHANY HOME CENTER,10,ALLEGHANY HOME,10
Alvear Const,"1,106",Alvear Const,"1,106"
American Reonvations LTD,892,Amer Reno,892
American Siding & Window,917,American Siding,917
American Wdw & Glass,630,AWG,630
ARW#2,802,ARW#2,802
ARWIN WINDOWS,18,ARWIN,18
Asgard Enterprises,790,Asgard,790
Asheville Housing,938,Asheville Housing,938
ATLAS SIDING & WINDOW,19,ATLAS,19
Aviston Lumber,433,Aviston,433
Bath Inspirations,965,Bath Inspirations,965
Beach Windows & Siding,468,Beach,468
Beckley Insulation Co.,228,Beckley,228
Benthall-Evans,871,Benthall-Evans,871
Benthall-Lou,870,Benthall-Lou,870
Benthall-Owen,455,Benthall-Owen,455
Benthall-Pad,855,Benthall-Pad,855
Big C Lumber Elkhart,781,Big C Elkhart,781
Big C Lumber LaPorte,739,Big C LaPorte,739
Big C Lumber Mishawaka,798,Big C Mishawaka,798
Big C Schoolcraft,809,Big C School,809
Big C Shipshewana,815,Big C Shipshewana,815
Big C South Bend,816,Big C South Bend,816
Bloom Alexander Lumber,318,Bloom,318
Blue Sky Windows LLC,"1,008",Blue Sky Windows,"1,008"
Borkholder,"1,061",Borkholder,"1,061"
BRANNAN'S WINDOW & SIDING,27,BRANNAN'S,27
BRIGHT WINDOWS,30,BRIGHT WIND,30
"Burke & Sons, Inc.",958,"Burke & Sons, Inc.",958
C Thru Windows,969,C Thru Windows,969
CANTON ALUMINUM,229,CAN,229
Carl Garris & Son,806,Garris,806
Carolina Builders North,544,Carolina,544
Carolina Specialty,746,CSC,746
Carter Lumber Adrian,"1,018",Carter Lumber Adrian,"1,018"
Carter Lumber Monroe,"1,039",Carter Lumber Monroe,"1,039"
Carter Lumber Pike,"1,047",Carter Lumber Pike,"1,047"
Casualty Restorations,390,Casualty,390
CBS Factory Direct,849,CBS,849
Central Builders Inc,904,Central Builders Inc,904
Central State Windows,217,Central,217
Chapman-Wilson Home Imp.,511,CWHI,511
Charleston HA,"1,112",Charleston HA,"1,112"
Chelsea Building Products,230,CHELSEA,230
CHI Roofing,"1,034",CHI Roofing,"1,034"
CINCINNATI HOME REPAIR,344,CINCY HOME REPAIR,344
Cincinnati Wdw Design,974,CWD,974
CINCY HERITAGE WDW & DOOR,130,CINCY HERITAGE,130
CITY GLASS CO.,42,CITY,42
CJ Home Improvement,960,CJ Home Improvement,960
Clark Home Imp.,432,Clark Home Imp.,432
CM Construction,612,CM,612
COACH HOUSE GARAGES,365,COACH HOUSE,365
COBLENTZ CONSTRUCTION,43,COB,43
Columbia Exteriors LLC,897,Columbia,897
COLUMBUS WINDOW CO.,45,COL,45
Cornerstone Loveland,656,Loveland Corner,656
Cox Construction,783,Cox Construction,783
CROCKER CONSTRUCTION,47,CROCKER CON,47
Crown Vinyl,617,Crown Vinyl,617
Custom Hampton Rd,"1,063",Custom Hampton Rd,"1,063"
Custom Home Improvement,37,CHI,37
Custom Window,"1,014",Custom Window,"1,014"
"DAMEN, TOM",134,DAMEN,134
Danco Bldrs Inc,"1,009",Danco Bldrs Inc,"1,009"
"DAVIDSON, BEN",135,"DAVIDSON, BEN",135
Dawson Siding & Window,"1,076",Dawson,"1,076"
Dealer Service & Supply,982,Dealer,982
Delphi Vision Group,"1,058",Delphi Vision Group,"1,058"
DH Enterprises,333,DH,333
DL Gehrilich LLC,"1,070",DL Gehrilich LLC,"1,070"
DLK Specialties,890,DLK Specialties,890
DonWin Dev,"1,068",DonWin Dev,"1,068"
Dream Works,"1,042",Dream Works,"1,042"
DSF Services,350,DSF,350
EAGLE INDUSTRIES OF OHIO,136,EAGLE IND,136
Eagle Industries PA,655,Eagle PA,655
EAGLE INSTALLATIONS,53,EAGLE,53
ECONOMY GLASS,54,EG,54
Elite,"1,035",Elite,"1,035"
Elk Grove Insulation,"1,103",Elk Grove,"1,103"
England W&D,872,England W&D,872
Entry Point,"1,052",Entry Point,"1,052"
Eston's Corner,997,Eston's Corner,997
EXTERIOR SOLUTIONS,263,EXTERIOR,263
FACTORY DIRECT REMODELING,59,FDR,59
FACTORY DIRECT WINDOWS INC.,60,FDW,60
"Fickert, AE",804,Fickert,804
Findlay Siding,696,Findlay,696
First Place Finish,980,First Place Finish,980
"Flippen, Greg",633,"Flippen, Greg",633
Flores Fairway,912,Flores Fairway,912
Franklin Group LLC,"1,081",Franklin Group LLC,"1,081"
Franks Glass,402,Franks,402
FREEDOM WINDOWS,138,FREEDOM,138
G2 Construction LLC,"1,059",G2 Construction LLC,"1,059"
GLASS CONTRACTORS,64,GLASS,64
GLASS GUYS,65,GLASS GUYS,65
GRAHAM LUMBER,307,GRAHAM,307
GREAT LAKES (CINCY),67,GREAT,67
